scheme,pivot,data_type,size,time,time_min,time_max,swaps,comparisons,memory_used
QuickSortHoare,median_of_three_random,random_data,500,0.0021375815073649,0.0019631385803222,0.0023517608642578,2082,8680,69860
QuickSortDoublePivot,double,random_data,500,0.000895341237386,0.0008924007415771,0.0009002685546875,2570,5173,38220
QuickSortDijkstra,median_of_three_random,random_data,500,0.0018622875213623,0.0014650821685791,0.0024464130401611,4426,4499,34580
QuickSortLomuto,last,random_data,1000,0.0021123886108398,0.0020711421966552,0.0021421909332275,5616,16659,56784
QuickSortLomuto,random,random_data,1000,0.0032208760579427,0.0026800632476806,0.0042505264282226,5448,16922,57092
QuickSortLomuto,median_of_three,random_data,1000,0.0021671454111735,0.0020294189453125,0.0023105144500732,5585,16060,51576
QuickSortLomuto,median_of_three_random,random_data,1000,0.0035696824391682,0.0031285285949707,0.0040657520294189,5704,15748,52052
QuickSortHoare,last,random_data,1000,0.0027342637379964,0.0027029514312744,0.0027649402618408,3442,19424,139860
QuickSortHoare,random,random_data,1000,0.0045492649078369,0.0030972957611083,0.0057196617126464,3508,18496,139860
QuickSortHoare,median_of_three,random_data,1000,0.0033432642618815,0.0029153823852539,0.0041916370391845,4672,20149,139860
QuickSortHoare,median_of_three_random,random_data,1000,0.0051422913869222,0.0040791034698486,0.0072162151336669,4415,18633,139860
QuickSortDoublePivot,double,random_data,1000,0.0021668275197347,0.0019207000732421,0.0025088787078857,5069,11002,79576
QuickSortDijkstra,median_of_three_random,random_data,1000,0.0034964879353841,0.002920389175415,0.0045735836029052,9297,9452,60993
QuickSortLomuto,last,random_data,5000,0.0162953535715738,0.015324592590332,0.0174982547760009,33193,114770,340956
QuickSortLomuto,random,random_data,5000,0.0175682703653971,0.0157430171966552,0.0199160575866699,35782,109000,340536
QuickSortLomuto,median_of_three,random_data,5000,0.0152202447255452,0.0142915248870849,0.0158190727233886,34359,107015,339444
QuickSortLomuto,median_of_three_random,random_data,5000,0.0225047270456949,0.0215895175933837,0.0241000652313232,33561,105070,339472
QuickSortHoare,last,random_data,5000,0.0167117118835449,0.016003131866455,0.0170676708221435,21669,119509,699860
QuickSortHoare,random,random_data,5000,0.0203545888264973,0.0192341804504394,0.0221505165100097,22043,108680,699860
QuickSortHoare,median_of_three,random_data,5000,0.018010139465332,0.0173723697662353,0.0188789367675781,25318,118841,699860
QuickSortHoare,median_of_three_random,random_data,5000,0.0272432168324788,0.0243585109710693,0.0290503501892089,24687,109983,699860
QuickSortDoublePivot,double,random_data,5000,0.013938029607137,0.0134921073913574,0.0145587921142578,27850,69257,445704
QuickSortDijkstra,median_of_three_random,random_data,5000,0.0141293207804361,0.013895034790039,0.0145330429077148,49624,50698,134680
QuickSortLomuto,last,random_data,10000,0.0371420383453369,0.0345079898834228,0.0409021377563476,73619,247774,755916
QuickSortLomuto,random,random_data,10000,0.0433983008066813,0.0387601852416992,0.0457971096038818,74587,243153,755944
QuickSortLomuto,median_of_three,random_data,10000,0.0384252071380615,0.0360598564147949,0.0421695709228515,72812,248269,755916
QuickSortLomuto,median_of_three_random,random_data,10000,0.0585628350575765,0.0552141666412353,0.0605862140655517,71363,246853,755916
QuickSortHoare,last,random_data,10000,0.0371653238932291,0.0368373394012451,0.0375788211822509,48087,246392,1399860
QuickSortHoare,random,random_data,10000,0.0440155665079752,0.0416977405548095,0.0463738441467285,48378,237398,1399860
QuickSortHoare,median_of_three,random_data,10000,0.0402095317840576,0.0378210544586181,0.0426297187805175,52903,255154,1399860
QuickSortHoare,median_of_three_random,random_data,10000,0.0577574570973714,0.0539500713348388,0.064756155014038,52732,232938,1399860
QuickSortDoublePivot,double,random_data,10000,0.036209503809611,0.0323686599731445,0.0401740074157714,63035,159349,927864
QuickSortDijkstra,median_of_three_random,random_data,10000,0.0303362210591634,0.0278694629669189,0.0319223403930664,93514,94862,140140
QuickSortLomuto,last,random_data,25000,0.1091914176940918,0.1037983894348144,0.1138968467712402,185265,805159,2015916
QuickSortLomuto,random,random_data,25000,0.1130480766296386,0.1110484600067138,0.1157875061035156,211574,834190,2015916
QuickSortLomuto,median_of_three,random_data,25000,0.1098428567250569,0.1026694774627685,0.117739200592041,202746,850848,2015916
QuickSortLomuto,median_of_three_random,random_data,25000,0.1574270725250244,0.1559438705444336,0.1596229076385498,182614,825305,2015916
QuickSortHoare,last,random_data,25000,0.093613862991333,0.0901896953582763,0.095848798751831,136074,674374,3499860
QuickSortHoare,random,random_data,25000,0.106077750523885,0.0998463630676269,0.1104030609130859,137342,624782,3499860
QuickSortHoare,median_of_three,random_data,25000,0.0975973606109619,0.0952134132385253,0.101130723953247,143025,696260,3499860
